title,year,organization
Collaborating Globally: Culture and Organizational Computer-Mediated Communications.,2011,University of Michigan
Impacts of Electronic Commerce on Supply Chain Management.,2002,University of Maryland
Strategic Information Technology Partnerships in Outsourcing as a Distinctive Source of Information Technology Value: A Social Capital Perspective.,2003,University of Maryland
"The Good, The Bad, or the Ugly? An Empirical Investigation of Revoking Behavior on eBay.",2009,University of Maryland
"Truck, Barter, and Exchange: An Empirical Investigation of Reciprocity in Online P2P Barter Markets.",2011,University of Maryland
Transactional vs. Relational Exchanges: An Empirical Investigation of Online Barter Markets.,2014,University of Maryland
Un-Haunting From the Ghost We Killed: IS Research and Education in the Post-Industrial Economy.,2008,Tel Aviv University
Un-Haunting From the Ghost We Killed: IS Research and Education in the Post-Industrial Economy.,2008,University of Michigan
The Role of Information Technology as a Firm-Specific Advantage in Internationalization of firms: Theory and Evidence.,2013,University of Maryland
IT Infusion and its Performance Impacts: An Empirical Analysis of eProcurement in the Service Industry.,2009,University of Maryland
Playing Both Sides of the Market: Success and Reciprocity on Crowdfunding Platforms.,2013,Tel Aviv University
Rapid Protoryping of System Enhancements.,1990,University of Maryland
Feature Extraction Based Design Retrieval.,1990,University of Michigan
Clock Qualification Algorithm for Timing Analysis of Custom CMOS VLSI Circuits with Overlapped Clocking Disciplines and On-section Clock Derivation.,1990,University of Michigan
Supporting Dynamic Changes in Web Service Environments.,2003,University of Michigan
Event-Driven Virtual Machine for Business Integration Middleware.,2010,University of Michigan
Trust Assessment for Web Services under Uncertainty.,2010,University of Michigan
Single Source of Truth (SSOT) for Service Oriented Architecture (SOA).,2014,University of Maryland
Monitoring the QoS for Web Services.,2007,University of Michigan
Event-Driven Quality of Service Prediction.,2008,University of Michigan
Spatial Similarity-based Retrievals and Image Indexing By Hierarchical Decomposition.,1997,University of Michigan
Meta Many-Valued Logic Programming for Incomplete and Locally Inconsistent Databases.,2004,University of Maryland
Querying with Negation in Data Integration Systems.,2005,University of Maryland
Intensional semantics for RDF data structures.,2008,University of Maryland
Algorithms for Cartogram Animation.,2000,University of Maryland
An Object-Oriented Approach to the Knowledge-based Scheduling Environment.,1996,University of Maryland
Strategy for Maritime Research and Development.,1991,University of Maryland
Visual Elements in the Discourse on Information Technology.,2002,University of Michigan
"Standardization, Network Economics, and IT.",2000,University of Michigan
Teaching Foresight and the Future.,2011,University of Michigan
Beyond Distributed Cognition.,2007,University of Michigan
A Case Study of Improving Information Technology Governance in a University Context.,2010,University of Maryland
Dig the Dirt.,2007,University of Michigan
Distributable computing and organizational democratization: examining a powerful myth.,1994,University of Michigan
Analyzing Demand Drivers of Enterprise Informatization Based on System Dynamics Method.,2007,University of Michigan
Establishing measurement for software quality improvement.,1994,University of Maryland
A revisionist view of re-engineering.,1994,University of Michigan
Critical Success Factors for ERP System Implementation.,2007,University of Michigan
Customer Relationship Management (CRM) Implementation in China: A Case Study of Legend Group.,2007,University of Michigan
The Impact of Transportation Disruptions on Performance of E-Collaboration Supply Chain.,2007,University of Michigan
Research and Analysis of Ajax Technology Effect on Information System Operating Efficiency.,2007,University of Michigan
Facilitating discovery on the private web using dataset digests.,2008,University of Maryland
XPred: a new model-mapping-schema-based approach for efficient access to XML data.,2008,University of Michigan
"Three-Dimension Model for Developing a Nutrition, Lifestyle and Health Database.",2005,University of Maryland
Collective Evaluation of Multiple Weighted Continuous Queries for Filtering Data Streams.,2009,University of Michigan
Prediction of Bead Geometry in Pulsed Current Gas Tungsten Arc Welding of Aluminum Using Artificial Neural Networks.,2003,University of Maryland
Adding an Interoperable Server Interface to a Spatial Database: Implementation Experiences with OpenMap.,1999,University of Maryland
ClueMaker: A Language for Approximate Record Matching.,2003,University of Michigan
Conditions for the Detection of Data Errors in Organizational Settings: Preliminary Results from a Field Study.,1996,University of Michigan
A Preliminary Analysis of Data Quality in Neural Networks.,1997,University of Michigan
A Preliminary Analysis of Data Quality in Linear Regression Models.,1998,University of Michigan
Determinants of Accuracy in the Context of Clinical Study Data.,2012,University of Michigan
Data Quality Based Applications Testing.,2003,University of Maryland
Record Linkage as DNA Sequence Alignment Problem.,2008,University of Maryland
A General Framework for Query Answering in Data Quality-based Cooperative Information Systems.,2004,University of Maryland
"Developing national library network statistics and performance measures: issues, findings, and recommendations.",2000,University of Maryland
Development and implementation of an MBA course on information management.,2000,University of Michigan
Undergraduate versus graduate perceptions of Internet information quality.,2000,University of Michigan
Developing national library network statistics and performance measures: measuring online database usage.,2000,University of Maryland
The ATREE: A Data Structure to Support Very Large Scientific Databases.,1999,University of Maryland
Model-Driven Security Engineering of Service Oriented Systems.,2008,University of Michigan
Recovery Algorithms for Database Machines with Nonvolatile Main Memory.,1989,University of Michigan
An Intelligent Memory Transaction Engine.,1989,University of Michigan
Design of a HyperKYKLOS-based Multiprocessor Architecture for High-Performance Join Operations.,1987,University of Maryland
Design and Performance Tools for Improving Database Usability and Responsiveness.,1978,University of Michigan
Advanced Conceptual Modeling of Web Applications: Embedding Operation Interfaces in Navigation Design.,2002,University of Maryland
Modelado de aspectos de navegación y presentación en aplicaciones hipermediales.,2000,University of Maryland
Migration of Legacy Systems to the Web.,2001,University of Maryland
Modelado de Aplicaciones Web Reactivas al Usuario.,2007,University of Maryland
Tratamiento de la Personalización Dinámica en Modelos Conceptuales de Aplicaciones Web.,2003,University of Maryland
Il Taller en Ingeniería del Software orientada al Web (Web Engineering).,2002,University of Maryland
Conceptual Modeling of Device-Independent Web Applications.,2001,University of Maryland
WebTE: Generación de aplicaciones Web dirigida por modelos.,2007,University of Maryland
Un perfil UML para la definición de un lenguaje gráfico de transformaciones basado en QVT.,2006,University of Maryland
OOH4RIA Tool: Una Herramienta basada en el Desarrollo Dirigido por Modelos para las RIAs.,2009,University of Maryland
Maturing Software Engineering Knowledge through: Classifications: A Case Study on Unit Testing Techniques.,2010,University of Maryland
Knowledge Bus: Generating Application-focused Databases from Large Ontologies.,1998,University of Maryland
Materialized Views and Data Warehouses.,1997,University of Maryland
Databases for Semistructures Data: How Useful Are They? (Position Paper).,1998,University of Maryland
Building a Digital Library Research Program at Columbia University.,2000,University of Maryland
Logic and Databases: A 20 Year Retrospective.,1996,University of Maryland
A Deductive Database Approach to Planning in Uncertain Environments.,1996,University of Maryland
The priority curve algorithm for video summarization.,2004,University of Maryland
The CPR model for summarizing video.,2003,University of Maryland
The Promise of Distributed Computing and the Challenges of Legacy Information Systems.,1993,University of Maryland
Refactoring of Statecharts.,2009,Tel Aviv University
A Groupware-Based Team Training Shell and its Application to Trauma Team Training.,1993,Tel Aviv University
Autonomy and Confidentiality: Secure Federated Data Management.,1995,University of Maryland
#NAME?,2006,Tel Aviv University
LTS: The List-Traversal Synopses System.,2006,Tel Aviv University
Towards Health 2.0: Mashups to the Rescue.,2009,Tel Aviv University
Maintenance and Self Maintenance of Outer-Join Views.,1997,University of Michigan
The Promise and Challenge of Multidimensional Visualization.,2006,Tel Aviv University
#NAME?,2006,University of Maryland
Automatic Discovery of Regular Expression Patterns Representing Negated Findings in Medical Narrative Reports.,2006,Tel Aviv University
The Future of Graphical User Interfaces.,1995,University of Maryland
: Bridging the Gap Between Web Services and the Semantic Web.,2006,Tel Aviv University
: Advanced IT in Support of Emergency Department Management.,2009,Tel Aviv University
On-Line Single-Pass Clustering Based on Diffusion Maps.,2007,University of Michigan
Improving Semantic Web Applications with Navigational Semantics.,2009,University of Maryland
Composite Events in a Distributed Object-Oriented Database.,1992,University of Michigan
E-science: Where Are We and Where Should We Go.,2008,University of Michigan
OTM'10 Keynote.,2010,University of Maryland
Description Logic Reasoning with Syntactic Updates.,2006,University of Maryland
Towards a Usage Control Policy Specification with Petri Nets.,2009,University of Michigan
Ontology Based Negotiation Case Search System for the Resolution of Exceptions in Collaborative Production Planning.,2005,University of Maryland
"ODBASE 2006 International Conference (Ontologies, DataBases, and Applications of Semantics) PC Co-chairs' Message.",2006,University of Maryland
Complexity of Inconsistency-Tolerant Query Answering in Datalog+/-.,2013,University of Maryland
Preference-Based Query Answering in Probabilistic Datalog+/- Ontologies.,2013,University of Maryland
Workshop PC Chairs' Message.,2003,University of Maryland
From Inter-organizational Workflows to Process Execution: Generating BPEL from WS-CDL.,2005,University of Michigan
CoopIS 2006 International Conference (International Conference on Cooperative Information Systems) PC Co-chairs' Message.,2006,University of Maryland
An Adaptive Probabilistic Replication Method for Unstructured P2P Networks.,2006,University of Maryland
Probabilistic Ontologies and Relational Databases.,2005,University of Maryland
Bid-Based Approach for Pricing Web Service.,2006,University of Maryland
Weakly-coupled ontology integration of P2P database systems.,2004,University of Maryland
A High Speed Main Memory File System for Shared Memory Multi-Processor Systems.,1990,University of Michigan
"Wireless Sensor Networking, Automation Technologies and Machine to Machine Developments on the Path to the Internet of Things.",2012,University of Maryland
The Opsis Project: Materialized Views for Data Warehouses and the Web.,2001,University of Maryland
Empirical channel model for placement optimisation of sensors deployed on oil & gas transmission pipelines.,2013,University of Maryland
Diagnosis of asynchronous discrete event systems: datalog to the rescue!,2005,Tel Aviv University
Positive Active XML.,2004,Tel Aviv University
Queries Are Easier Than You Thought (Probably).,1992,University of Michigan
Regular rewriting of active XML and unambiguity.,2005,Tel Aviv University
Achieving anonymity via clustering.,2006,University of Maryland
Estimating arbitrary subset sums with few probes.,2005,Tel Aviv University
Tracking Join and Self-Join Sizes in Limited Storage.,1999,Tel Aviv University
XML with Data Values: Typechecking Revisited.,2001,Tel Aviv University
On provenance minimization.,2011,Tel Aviv University
Provenance for aggregate queries.,2011,Tel Aviv University
Efficient Processing of Window Queries in The Pyramid Data Structure.,1990,University of Maryland
Subtyping in OODB's.,1991,Tel Aviv University
Functional and Predicative Programming in OODB's.,1992,Tel Aviv University
On Genericity and Parametricity.,1996,Tel Aviv University
Implementing Deductive Databases by Linear Programming.,1992,University of Maryland
The ACM PODS Alberto O. Mendelzon test-of-time award 2013.,2013,Tel Aviv University
Space-optimal heavy hitters with strong error bounds.,2009,University of Michigan
Reasoning about XML update constraints.,2007,Tel Aviv University
Sketching unaggregated data streams for subpopulation-size queries.,2007,Tel Aviv University
Get the most out of your sample: optimal unbiased estimators using partial information.,2011,Tel Aviv University
Labeling Dynamic XML Trees.,2002,Tel Aviv University
Maintaining time-decaying stream aggregates.,2003,University of Michigan
Flow algorithms for two pipelined filter ordering problems.,2006,University of Maryland
Algebras for Querying Text Regions.,1995,Tel Aviv University
Provenance views for module privacy.,2011,Tel Aviv University
On probabilistic fixpoint and Markov chain query languages.,2010,Tel Aviv University
"A quest for beauty and wealth (or, business processes for database researchers).",2011,Tel Aviv University
Extendible Hashing for Concurrent Operations and Distributed Data.,1983,University of Maryland
Concurrency and Linear Hashing.,1985,University of Maryland
Optimal Aggregation Algorithms for Middleware.,2001,University of Maryland
Optimal and Approximate Computation of Summary Statistics for Range Aggregates.,2001,University of Michigan
Towards Tractable Algebras for Bags.,1993,Tel Aviv University
Optimal indexing using near-minimal space.,2003,University of Michigan
Similarity-Based Queries.,1995,Tel Aviv University
Similarity-Based Queries.,1995,University of Michigan
Managing Rule Conflicts in an Active Database.,1996,University of Michigan
View Maintenance Issues for the Chronicle Data Model.,1995,University of Michigan
Substring Selectivity Estimation.,1999,University of Michigan
Algorithms for data migration with cloning.,2003,University of Maryland
Data Bases in Digital Libraries: Where Computer Science and Information Management Meet.,1998,University of Maryland
Consensus answers for queries over probabilistic databases.,2009,University of Maryland
Formal Models of Web Queries.,1997,Tel Aviv University
Object Migration.,1994,Tel Aviv University
Type Inference for Queries on Semistructured Data.,1999,Tel Aviv University
Typechecking for XML Transformers.,2000,Tel Aviv University
Perspectives in Deductive Databases (Abstract).,1987,University of Maryland
Data-value Partitioning and Virtual Messages.,1990,University of Michigan
Synthetic Data for Small Area Estimation.,2010,University of Michigan
Nonparametric Generation of Synthetic Data for Small Geographic Areas.,2014,University of Michigan
Evaluating cross-organizational ERP requirements engineering practices: a focus group study.,2010,Tel Aviv University
IS community and its role in bridging the digital divide.,2007,Tel Aviv University
A Scheme for Integrating e-Services in Establishing Virtual Enterprises.,2002,University of Michigan
Light-Weight Currency Management Mechanisms in Deno.,2000,University of Maryland
Consistent View Removal in Transparent Schema Evolution Systems.,1996,University of Michigan
Execution Ordering for Multilevel Secure Rules.,1994,University of Maryland
Logic-Enhanced Memory Database: A Simulation Study.,1996,University of Michigan
Real-Time Data and Coordination Control for Reconfigurable Manufacturing Systems.,1997,University of Michigan
Probabilistic Real-Time Data Access with Interval Constraints.,1996,University of Michigan
"Active XML, Security and Access Control.",2004,Tel Aviv University
Provenance for Web 2.0 Data.,2012,Tel Aviv University
Using Delay to Defend Against Database Extraction.,2004,University of Michigan
Do You Know Where Your Data's Been? - Tamper-Evident Database Provenance.,2009,University of Michigan
Computing k-rank answers with Ontological CP-Nets.,2014,University of Maryland
Review of Spatial Databases and Geographic Information Systems.,2009,University of Maryland
Foundation of Multimedia Information Systems (Abstract).,1996,University of Maryland
Context-Aware Semantic Association Ranking.,2003,University of Maryland
Web Service Composition with Volatile Information.,2005,University of Maryland
Mining Patterns from Clinical Trial Annotated Datasets by Exploiting the NCI Thesaurus.,2012,University of Maryland
DOGMA: A Disk-Oriented Graph Matching Algorithm for RDF Databases.,2009,University of Maryland
A Semantic Web Resource Protocol: XPointer and HTTP.,2004,University of Maryland
Just Add Weights: Markov Logic for the Semantic Web.,2008,University of Maryland
History Matters: Incremental Ontology Reasoning Using Modules.,2007,University of Maryland
Working with Multiple Ontologies on the Semantic Web.,2004,University of Maryland
Finding All Justifications of OWL DL Entailments.,2007,University of Maryland
Representing Web Service Policies in OWL-DL.,2005,University of Maryland
Semantic Web Service Composition in Social Environments.,2009,University of Maryland
Information Gathering During Planning for Web Service Composition.,2004,University of Maryland
Information Integration with Provenance on the Semantic Web via Probabilistic Datalog+/-.,2014,University of Maryland
Ontology-Driven Information Extraction with OntoSyphon.,2006,University of Michigan
Graph Summarization in Annotated Data Using Probabilistic Soft Logic.,2012,University of Maryland
Ontological CP-Nets.,2014,University of Maryland
Mapping Master: A Flexible Approach for Mapping Spreadsheets to OWL.,2010,University of Maryland
Personalized Best Answer Computation in Graph Databases.,2013,University of Maryland
Drug-Target Interaction Prediction Using Semantic Similarity and Edge Partitioning.,2014,University of Maryland
Exploiting Semantics from Ontologies and Shared Annotations to Find Patterns in Annotated Linked Open Data.,2013,University of Maryland
Semantic Pen - A Personal Information Management System for Pen Based Devices.,2005,University of Michigan
Knowledge Graph Identification.,2013,University of Maryland
Towards Integrity Constraints in OWL.,2009,University of Maryland
PelletSpatial: A Hybrid RCC-8 and RDF/OWL Reasoning and Query Engine.,2009,University of Maryland
Link Prediction for Annotation Graphs Using Graph Summarization.,2011,University of Maryland
CropCircles: Topology Sensitive Visualization of OWL Class Hierarchies.,2006,University of Maryland
Ontology Performance Profiling and Model Examination: First Steps.,2007,University of Maryland
A Survey of the Web Ontology Landscape.,2006,University of Maryland
Automating DAML-S Web Services Composition Using SHOP2.,2003,University of Maryland
How long will they stay? Predicting an IT professional's preferred employment duration.,2001,University of Maryland
Explaining an IT professional's preferred employment duration: empirical tests of a causal model of antecedents.,2002,University of Maryland
Retention and the career motives of IT professionals.,2000,University of Maryland
Toward understanding the relationship between IT human resource management systems and retention: an empirical analysis based on multiple theoretical and measurement approaches.,2002,University of Maryland
"Recruiting, retaining, and developing IT professionals: an empirically derived taxonomy of human resource practices.",1998,University of Maryland
Facilitating COBOL programmers' transition to the C language.,1997,University of Maryland
Observations from the front: IT executives on practices to recruit and retain information technology professionals.,1999,University of Maryland
Success is more than a resumé: the role of social and psychological capital in compensation for offshore BPO professionals.,2013,University of Maryland
Success is more than a resumé: the role of social and psychological capital in compensation for offshore BPO professionals.,2013,University of Michigan
Auto-completion learning for XML.,2012,Tel Aviv University
Dynamic XML documents with distribution and replication.,2003,Tel Aviv University
Lazy Query Evaluation for Active XML.,2004,Tel Aviv University
A Database Interface for File Updates.,1995,Tel Aviv University
A Multi-Similarity Algebra.,1998,University of Maryland
Query Caching and Optimization in Distributed Mediator Systems.,1996,University of Maryland
A Multimedia Presentation Algebra.,1999,University of Maryland
Efficient Management of Transitive Relationships in Large Data and Knowledge Bases.,1989,University of Michigan
Managing Healthcare Data Hippocratically.,2004,University of Michigan
Querying Structured Text in an XML Database.,2003,University of Michigan
OASSIS: query driven crowd mining.,2014,Tel Aviv University
Crowd mining.,2013,Tel Aviv University
"Replication, Consistency, and Practicality: Are These Mutually Exclusive?",1998,Tel Aviv University
PAnG: finding patterns in annotation graphs.,2012,University of Maryland
Labeling recursive workflow executions on-the-fly.,2011,Tel Aviv University
DataBlitz Storage Manager: Main Memory Database Performance for Critical Applications.,1999,University of Maryland
Query-based monitoring of BPEL business processes.,2007,Tel Aviv University
On the Power of Algebras with Recursion.,1993,Tel Aviv University
Analysis of Indexed Sequential and Direct Access File Organizations.,1974,University of Michigan
ASSET: A System for Supporting Extended Transactions.,1994,University of Michigan
ROLEX: Relational On-Line Exchange with XML.,2003,University of Maryland
Epsilon Grid Order: An Algorithm for the Similarity Join on Massive High-Dimensional Data.,2001,University of Maryland
Enriching topic-based publish-subscribe systems with related content.,2008,Tel Aviv University
Data Abstraction for Designing Database-Intensive Applications.,1980,University of Maryland
Recurring job optimization in scope.,2012,University of Maryland
Web data management.,2011,University of Michigan
TelegraphCQ: Continuous Dataflow Processing.,2003,University of Maryland
Finding k-dominant skylines in high dimensional space.,2006,University of Michigan
Why not?,2009,University of Michigan
Efficient provenance storage.,2008,University of Michigan
Adaptive Selectivity Estimation Using Query Feedback.,1994,University of Maryland
Vdd - A VLSI Design Database System.,1983,University of Michigan
Spatially-decaying aggregation over a network: model and algorithms.,2004,Tel Aviv University
Spectral Bloom Filters.,2003,Tel Aviv University
Optimizing Queries on Files.,1994,Tel Aviv University
"Cross-tier, label-based security enforcement for web applications.",2009,University of Maryland
Compressing Historical Information in Sensor Networks.,2004,University of Maryland
Extended Wavelets for Multiple Measures.,2003,University of Maryland
Independence is Good: Dependency-Based Histogram Synopses for High-Dimensional Data.,2001,University of Maryland
"Adaptive query processing: why, how, when, what next.",2006,University of Maryland
MauveDB: supporting model-based user views in database systems.,2006,University of Maryland
Cache-and-Query for Wide Area Sensor Databases.,2003,University of Maryland
IrisNet: Internet-scale Resource-Intensive Sensor Services.,2003,University of Maryland
Mob data sourcing.,2012,Tel Aviv University
Analysis of Object Oriented Spatial Access Methods.,1987,University of Maryland
Introduction to Storage Structure Definition.,1970,University of Michigan
Storage Structure Definition Language (pre-discussion summary).,1970,University of Michigan
Significant Developments in Data Base Management Systems.,1975,University of Michigan
A Development Model for Data Translation.,1972,University of Michigan
Towards a Formulation and Definition of Data Reorganization.,1974,University of Michigan
Towards the Support of Integrated Views of Multiple Databases: An Aggregate Schema Facility.,1978,University of Michigan
An Approach to Stored Data Definition and Translation.,1972,University of Michigan
Bifocal Sampling for Skew-Resistant Join Size Estimation.,1996,Tel Aviv University
DSH: data sensitive hashing for high-dimensional k-nnsearch.,2014,University of Michigan
Event Specification in an Active Object-Oriented Database.,1992,University of Michigan
Learning statistical models from relational data.,2011,University of Maryland
Selectivity Estimation using Probabilistic Models.,2001,University of Maryland
New Sampling-Based Summary Statistics for Improving Approximate Query Answers.,1998,Tel Aviv University
Sybase Replication Server.,1994,University of Michigan
Approximate XML joins.,2002,University of Michigan
Maintaining Views Incrementally.,1993,University of Maryland
Processing Data Model Abstractions.,1980,University of Maryland
Incremental Distance Join Algorithms for Spatial Databases.,1998,University of Maryland
A Qualitative Comparison Study of Data Structures for Large Line Segment Databases.,1992,University of Maryland
A New Characterization of Independence.,1983,University of Michigan
TOSS: An Extension of TAX with Ontologies and Similarity Queries.,2004,University of Maryland
Queuing Network Models for Concurrent Transaction Processing in a Database System.,1979,University of Michigan
Incorporating Hierarchy in a Relational Model of Data.,1989,University of Michigan
Linear Clustering of Objects with Multiple Atributes.,1990,University of Michigan
A Retrieval Technique for Similar Shapes.,1991,University of Michigan
Issues in Multimedia Datbases (Panel).,1993,University of Michigan
Databases for Networks.,1994,University of Michigan
A Study of Transitive Closure As a Recursion Mechanism.,1987,University of Michigan
Making database systems usable.,2007,University of Michigan
Global Optimization of Histograms.,2001,University of Michigan
On Effective Multi-Dimensional Indexing for Strings.,2000,University of Michigan
Querying Network Directories.,1999,Tel Aviv University
Querying Network Directories.,1999,University of Michigan
Snakes and Sandwiches: Optimal Clustering Strategies for a Data Warehouse.,1999,University of Michigan
Colorful XML: One Hierarchy Isn't Enough.,2004,University of Michigan
Speeding up search in peer-to-peer networks with a multi-way tree structure.,2006,University of Michigan
A Unified Framework for Enforcing Multiple Access Control Policies.,1997,University of Maryland
Indexing correlated probabilistic databases.,2009,University of Maryland
Lineage processing over correlated probabilistic databases.,2010,University of Maryland
Sensitivity analysis and explanations for robust query evaluation in probabilistic databases.,2011,University of Maryland
HiNGE: enabling temporal network analytics at scale.,2013,University of Maryland
Efficiently Supporting Ad Hoc Queries in Large Datasets of Time Sequences.,1997,University of Michigan
An Alternative Storage Organization for ROLAP Aggregate Views Based on Cubetrees.,1998,University of Maryland
DynaMat: A Dynamic View Management System for Data Warehouses.,1999,University of Maryland
WebView Materialization.,2000,University of Maryland
A CSG Based DBMS for CAD/CAM and its Supporting Query Language.,1983,University of Michigan
Incognito: Efficient Full-Domain K-Anonymity.,2005,University of Michigan
Opportunistic physical design for big data analytics.,2014,University of Maryland
MISO: souping up big data query processing with a multistore system.,2014,University of Maryland
Using the Structure of Web Sites for Automatic Segmentation of Tables.,2004,University of Maryland
Composing XSL Transformations with XML Publishing Views.,2003,University of Maryland
DaNaLIX: a domain-adaptive natural language interface for querying XML.,2007,University of Michigan
Parasol: An Architecture for Cross-Cloud Federated Graph Querying.,2014,University of Maryland
NaLIR: an interactive natural language interface for querying relational databases.,2014,University of Michigan
Schema-free SQL.,2014,University of Michigan
DataLens: making a good first impression.,2009,University of Michigan
NaLIX: an interactive natural language interface for querying XML.,2005,University of Michigan
Designing DBMS Support for the Temporal Dimension.,1984,University of Michigan
Efficient Maintenance of Materialized Mediated Views.,1995,University of Maryland
Form Operation By Example: A Language For Office Information Processing.,1981,University of Maryland
Trends in high performance analytics.,2006,Tel Aviv University
Wavelet-Based Histograms for Selectivity Estimation.,1998,Tel Aviv University
A Data Description Language Approach to File Translation.,1974,University of Michigan
Exchanging Intensional XML Data.,2003,Tel Aviv University
Boosting topic-based publish-subscribe systems with dynamic clustering.,2007,Tel Aviv University
Performing Inferences over Relation Data Bases.,1975,University of Maryland
Managing large dynamic graphs efficiently.,2012,University of Maryland
EAGr: supporting continuous ego-centric aggregate queries over large dynamic graphs.,2014,University of Maryland
GRDB: a system for declarative and interactive analysis of noisy information networks.,2013,University of Maryland
Assisted querying using instant-response interfaces.,2007,University of Michigan
Investigations into the Application of the Relational Model to Data Translation.,1975,University of Michigan
Graph summarization with bounded error.,2008,University of Maryland
A Population Analysis for Hierarchical Data Structures.,1987,University of Maryland
Verifying Completeness of Relational Query Results in Data Publishing.,2005,University of Maryland
TIMBER: A Native System for Querying XML.,2003,University of Michigan
Tree Logical Classes for Efficient Evaluation of XQuery.,2004,University of Michigan
Sample-driven schema mapping.,2012,University of Michigan
Local structure and determinism in probabilistic databases.,2012,University of Maryland
MOCHA: A Database Middleware System Featuring Automatic Deployment of Application-Specific Functionality.,2000,University of Maryland
MOCHA: A Self-Extensible Database Middleware System for Distributed Data Sources.,2000,University of Maryland
Engineering Information Systems: Builders and Designers Perspective.,1986,University of Maryland
A Relational Database to Support Graphical Design and Documentation.,1983,University of Maryland
Cubetree: Organization of and Bulk Updates on the Data Cube.,1997,University of Maryland
The Active MultiSync Controller of the Cubetree Storage Organization.,1999,University of Maryland
Nearest Neighbor Queries.,1995,University of Maryland
Direct Spatial Search on Pictorial Databases Using Packed R-Trees.,1985,University of Maryland
The MultiView Project: Object-Oriented View Technology and Applications.,1996,University of Michigan
Scalable network distance browsing in spatial databases.,2008,University of Maryland
Indexing methods for moving object databases: games and other applications.,2013,University of Maryland
Finding related tables.,2012,University of Michigan
Application of Modelling Techniques (discussion).,1980,University of Maryland
COLT: continuous on-line tuning.,2006,Tel Aviv University
OpenII: an open source information integration toolkit.,2010,University of Maryland
Implementing Large Production Systems in a DBMS Environment: Concepts and Algorithms.,1988,University of Maryland
Partitioning a Relational Database Horizontally Using a Knowledge-Based Approach.,1985,University of Michigan
Extreme visualization: squeezing a billion records into a million pixels.,2008,University of Maryland
Skimmer: rapid scrolling of relational query results.,2012,University of Michigan
Dwarf: shrinking the PetaCube.,2002,University of Maryland
Exploring schema similarity at multiple resolutions.,2010,University of Maryland
Big Metadata: The Need for Principled Metadata Management in Big Data Ecosystems.,2014,University of Maryland
Orca: a modular query optimizer architecture for big data.,2014,University of Maryland
Localizing anomalous changes in time-evolving graphs.,2014,University of Michigan
An Access Path Specification Language for Restructuring Network Databases.,1977,University of Michigan
On the Requirements of Navigational Relationship Representations.,1981,University of Michigan
Application of an Analytical Model to Evaluate Storage Structures.,1976,University of Michigan
The Distributed Information Search Component (Disco) and the World Wide Web.,1997,University of Maryland
Leveraging data and structure in ontology integration.,2007,University of Maryland
Cost Based Query Scrambling for Initial Delays.,1998,University of Maryland
Symbiote: a reconfigurable logic assisted data streammanagement system (RLADSMS).,2010,University of Maryland
Temporal Modules: An Approach Toward Federated Temporal Databases.,1993,University of Maryland
A sample-and-clean framework for fast and accurate query processing on dirty data.,2014,Tel Aviv University
Methodology for Transferring Programs and Data.,1974,University of Michigan
Efficient evaluation of queries in a mediator for WebSources.,2002,University of Maryland
CrowdMatcher: crowd-assisted schema matching.,2014,University of Michigan
Node Distribution in a PR Quadtree.,1989,University of Maryland
Extending a DBMS with Spatial Operations.,1991,University of Maryland
Orthogonal Polygons as Bounding Structures in Filter-Refine Query Processing Strategies.,1997,University of Maryland
An Extended Object-Oriented Data Model for Large Image Bases.,1991,University of Michigan
Ranking in Spatial Databases.,1995,University of Maryland
Efficient Processing of Spatial Queries in Line Segment Databases.,1991,University of Maryland
Improving Spatial Intersect Joins Using Symbolic Intersect Detection.,1997,University of Michigan
A Group Based Approach for Path Queries in Road Networks.,2013,University of Maryland
Hierarchical Spatial Data Structures.,1989,University of Maryland
Why Does GIS Industry Ignore University Research? (Panel abstract).,1991,University of Maryland
K-Nearest Neighbor Search for Moving Query Point.,2001,University of Maryland
PStore: an efficient storage framework for managing scientific data.,2014,University of Maryland
A Design Methodology for Databases with Uncertain Data.,1994,University of Michigan
A Fast Approximation Scheme for Probabilistic Wavelet Synopses.,2005,University of Maryland
Finding Frequent Items over General Update Streams.,2008,University of Michigan
Some Challenges in Integrating Information on Protein Interactions and a Partial Solution.,2007,University of Michigan
Temporal Range Exploration of Large Scale Multidimensional Time Series Data.,2004,University of Maryland
Automatic Conflict Resolution in a CDSS.,2012,University of Michigan
Component-based Data Layout for Efficient Slicing of Very Large Multidimensional Volumetric Data.,2007,University of Maryland
Information-Aware 2-Tree for Efficient Out-of-Core Indexing of Very Large Multidimensional Volumetric Data.,2007,University of Maryland
Range Selectivity Estimation for Continuous Attributes.,1999,University of Michigan
Exploiting Multiple Paths to Express Scientific Queries.,2004,University of Maryland
A Comparative Study of Spatial Indexing Techniques for Multidimensional Scientific Datasets.,2004,University of Maryland
Adaptive exploration for large-scale protein analysis in the molecular dynamics database.,2013,University of Maryland
Integrating distributed Scientific Data Sources with MOCHA and XRoaster.,2001,University of Maryland
Efficient Techniques for Range Search Queries on Earth Science Data.,2002,University of Maryland
How Far Should a Database System Go? (to Support a Statistical One).,1983,University of Michigan
Temporal Preprocessor: Towards Temporal Applications Development.,2007,Tel Aviv University
Composing and Maintaining Web-based Virtual Enterprises.,2000,University of Michigan
Integrating and customizing heterogeneous e-commerce applications.,2000,Tel Aviv University
